ts,F3 10k,F4 5k
17268478.0,627.21492,-605.16588
17268577.0,613.55825,-595.36207
17268676.0,608.44653,-597.11684
17268775.0,605.08959,-599.13864
17268884.0,602.64817,-605.47106
17268993.0,602.41929,-599.36752
17269107.0,602.49558,-604.74626
17269206.0,602.49558,-604.2885
17269305.0,601.35117,-604.25035
17269404.0,602.343,-603.86888
17269503.0,600.9697,-603.86888
17269602.0,601.80894,-604.17406
17269701.0,601.96152,-604.51738
17269800.0,602.03782,-604.2885
17269900.0,601.96152,-604.78441
17269999.0,602.49558,-603.83073
17270098.0,601.35117,-603.71629
17270197.0,600.89341,-598.60458
17270296.0,602.41929,-598.71902
17270395.0,602.64817,-598.07052
17270494.0,602.41929,-598.64273
17270593.0,603.64,-598.14681
17270692.0,603.10594,-598.60458
17270791.0,603.64,-598.07052
17270890.0,603.02964,-598.3757
17270989.0,602.72447,-598.56643
17271088.0,603.02964,-597.87978
17271187.0,602.2667,-604.2122
17271286.0,603.86888,-604.36479
17271385.0,550.6155,-405.99978
17271484.0,461.88531,-407.0679
17271583.0,433.35126,-402.49024
17271682.0,419.6183,-401.0788
17271781.0,412.67552,-401.99433
17271880.0,407.7164,-403.90169
17271979.0,407.56381,-403.97798
17272138.0,403.97798,-403.71095
17272247.0,406.64828,-402.3758
17272346.0,405.58016,-401.99433
17272445.0,403.59651,-401.99433
17272545.0,404.35945,-402.87172
17272644.0,403.7491,-403.63466
17272743.0,404.35945,-403.78725
17272842.0,403.97798,-403.21504
17272942.0,403.90169,-402.56654
17273041.0,403.82539,-402.87172
17273140.0,403.59651,-403.36763
17273239.0,403.82539,-403.44392
17273338.0,404.51204,-402.60469
17273437.0,403.36763,-395.89079
17273536.0,404.35945,-396.69188
17273635.0,405.73275,-396.42485
17273734.0,404.89351,-396.42485
17273834.0,404.58834,-395.31859
17273933.0,404.43575,-396.19597
17274032.0,404.81722,-396.50115
17274131.0,404.89351,-396.15782
17274230.0,404.74092,-396.463
17274329.0,403.90169,-395.58562
17274428.0,404.89351,-402.03248
17274527.0,404.51204,-402.94801
17274626.0,319.0625,-198.5176
17274725.0,253.98351,-196.03804
17274824.0,232.39224,-201.49308
17274923.0,220.33775,-203.09526
17275022.0,214.15792,-199.62387
17275121.0,210.64839,-198.63204
17275220.0,209.58027,-200.23422
17275319.0,206.98626,-201.37864
17275418.0,206.90997,-192.03259
17275517.0,206.60479,-193.13886
17275616.0,206.29962,-193.93995
17275715.0,205.99444,-194.96992
17275814.0,204.16338,-193.71107
17275913.0,205.38408,-192.90998
17276012.0,204.54485,-193.02442
17276111.0,206.5285,-194.24513
17276210.0,204.92632,-194.20698
17276309.0,204.16338,-192.90998
17276408.0,205.2315,-198.82278
17276507.0,205.07891,-200.23422
17276606.0,204.85002,-199.77646
17276705.0,205.2315,-199.2424
17276804.0,205.07891,-199.05166
17276903.0,205.38408,-199.50943
17277002.0,204.77373,-199.43313
17277111.0,204.77373,-193.71107
17277221.0,205.00261,-199.85275
17277320.0,204.31596,-200.38681
17277419.0,205.30779,-199.73831
17277518.0,205.07891,-193.71107
17277617.0,204.23967,-193.86365
17277716.0,160.2179,7.32425
17277815.0,83.16072,5.60763
17277914.0,50.43049,6.10354
17278014.0,41.65665,6.33242
17278113.0,33.0354,6.37057
17278212.0,23.11715,6.90463
17278311.0,12.58855,7.20981
17278410.0,15.02996,7.78201
17278509.0,15.33514,8.01089
17278608.0,10.68119,2.78474
17278707.0,8.85013,3.20436
17278806.0,9.38419,2.594
17278905.0,9.00272,2.74659
17279004.0,8.16348,2.86103
17279113.0,6.71389,7.89645
17279222.0,6.79019,2.32697
17279321.0,7.70572,2.32697
17279420.0,6.10354,3.05177
17279519.0,6.10354,2.70845
17279618.0,7.62942,8.01089
17279717.0,7.40054,8.20163
17279816.0,6.79019,8.08719
17279915.0,7.40054,7.89645
17280014.0,8.39237,7.36239
17280113.0,7.09536,7.59128
17280212.0,7.70572,7.78201
17280311.0,8.69754,8.16348
17280410.0,6.33242,7.47684
17280509.0,6.79019,7.43869
17280609.0,7.32425,7.78201
17280708.0,7.17166,7.32425
17280807.0,7.62942,3.58583
17280906.0,7.01907,3.35695
17281015.0,7.62942,7.40054
17281124.0,7.32425,3.50953
17281223.0,7.55313,3.47139
17281322.0,7.55313,3.08992
17281421.0,6.86648,3.66212
17281520.0,6.5613,3.54768
17281619.0,6.71389,3.66212
17281718.0,6.71389,3.89101
17281817.0,7.09536,7.05722
17281916.0,8.01089,7.09536
17282015.0,7.62942,6.5613
17282114.0,7.62942,6.98092
17282213.0,6.86648,7.2861
17282312.0,8.31607,6.82833
17282411.0,6.94278,6.82833
17282511.0,6.79019,6.6376
17282610.0,7.32425,7.09536
17282709.0,6.10354,6.67575
17282808.0,7.9346,6.90463
17282907.0,7.70572,4.15804
17283016.0,7.85831,6.86648
17283125.0,7.40054,4.19618
17283234.0,7.85831,6.48501
17283333.0,7.09536,6.48501
17283433.0,7.24795,6.59945
17283532.0,7.47684,6.59945
17283632.0,7.32425,6.40872
17283731.0,7.70572,6.40872
17283831.0,7.70572,6.06539
17283930.0,7.01907,6.71389
17284029.0,7.85831,6.52316
17284128.0,7.24795,6.52316
17284228.0,7.47684,6.33242
17284327.0,7.70572,4.42507
17284426.0,8.01089,4.6158
17284525.0,7.70572,4.46321
17284624.0,7.09536,4.6921
17284723.0,8.01089,4.6158
17284822.0,7.09536,4.76839
17284921.0,7.85831,4.53951
17285020.0,7.62942,4.57765
17285119.0,32.19617,-191.11706
17285218.0,90.86644,-184.25058
17285317.0,132.44679,-195.00807
17285416.0,158.69201,-193.36774
17285515.0,178.29963,-189.51488
17285614.0,189.51488,-187.83641
17285713.0,196.76284,-190.0108
17285812.0,200.57755,-192.10889
17285911.0,202.79008,-192.26148
17286010.0,204.77373,-191.3078
17286109.0,205.30779,-190.46856
17286218.0,205.46038,-190.27783
17286327.0,207.21515,-189.78191
17286436.0,206.60479,-190.46856
17286535.0,206.83367,-190.92633
17286634.0,207.90179,-190.85003
17286733.0,207.29144,-191.15521
17286832.0,207.8255,-191.72742
17286931.0,206.75738,-191.34594
17287030.0,207.67291,-191.19336
17287129.0,207.44403,-191.00262
17287228.0,207.36773,-191.84186
