ts,F1
32571001.909017563,3674.1397
32572003.01003456,3674.4449
32573004.110097885,3673.3767
32574005.21016121,3673.3767
32575006.309986115,3673.6819
32576007.41004944,3674.216
32577008.51011276,3674.1397
32578009.610176086,3673.6056
32579010.71000099,3673.9871
32580011.81006432,3673.6819
32581012.91012764,3673.6056
32582014.01114464,3675.8945
32583015.11120796,3674.3686
32584016.211032867,3674.3686
32585017.31109619,3674.5212
32586018.411159515,3674.216
32587019.51122284,3674.9026
32588020.611047745,3674.0634
32589021.71111107,3674.5975
32590022.811174396,3674.3686
32591023.910999294,3676.5048
32592025.012016296,3674.216
32593026.11207962,3674.6737
32594027.212142944,3674.6737
32595028.31220627,3673.1479
32596029.412031174,3674.2923
32597030.512094498,3673.9108
32598031.61215782,3673.8345
32599032.712221146,3674.9789
32600033.81204605,3674.75
32601034.91210937,3674.0634
32602036.013126373,3674.8263
32603037.113189697,3673.9108
32604038.213014603,3674.3686
32605039.313077927,3672.9953
32606040.41314125,3674.5975
32607041.51320457,3674.2923
32608042.61302948,3673.9108
32609043.713092804,3675.7419
32610044.813156128,3673.6819
32611045.91321945,3674.9026
32612047.01399803,3674.6737
32613048.11406136,3673.2242
32614049.21412468,3673.5293
32615050.314188004,3674.216
32616051.41401291,3673.453
32617052.514076237,3676.6574
32618053.61413956,3674.0634
32619054.71420288,3673.6819
32620055.814027783,3674.4449
32621056.91409111,3673.9871
32622058.01510811,3673.6819
32623059.115171432,3673.7582
32624060.214996334,3674.4449
32625061.315059666,3674.3686
32626062.415122986,3674.2923
32627063.51518631,3674.1397
32628064.61501121,3674.1397
32629065.71507454,3673.1479
32630066.815137863,3674.0634
32631067.915201187,3676.5811
32632069.016218185,3675.5893
32633070.11604309,3673.9871
32634071.21610641,3673.8345
32635072.31616974,3674.6737
32636073.415994644,3674.5212
32637074.51605797,3674.9026
32638075.61612129,3674.5975
32639076.716184616,3673.3767
32640077.81600952,3674.5212
32641078.916072845,3673.9871
32642080.017089844,3674.3686
32643081.117153168,3675.8945
32644082.21721649,3673.5293
32645083.3170414,3674.8263
32646084.41710472,3675.1315
32647085.517168045,3674.3686
32648086.61699295,3674.6737
32649087.717056274,3674.5212
32650088.8171196,3673.8345
